"model","reference_date","horizon","target_end_date","target_group","output_type","output_type_id","value"
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.01",45
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.025",55
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.05",66
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.1",77
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.15",80
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.2",87
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.25",91
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.3",94
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.35",98
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.4",101
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.45",103
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.5",106
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.55",109
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.6",111
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.65",115
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.7",119
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.75",122
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.8",127
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.85",135
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.9",140
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.95",156
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.975",173
"Regular Baseline","2026-06-13",-5,"2026-05-09","Adults","quantile","0.99",191
"Regular Baseline","2026-06-13",-4,"2026-05-16","Adults","quantile","0.01",29
"Regular Baseline","2026-06-13",-4,"2026-05-16","Adults","quantile","0.025",39
"Regular Baseline","2026-06-13",-4,"2026-05-16","Adults","quantile","0.05",51
"Regular Baseline","2026-06-13",-4,"2026-05-16","Adults","quantile","0.1",63
"Regular Baseline","2026-06-13",-4,"2026-05-16","Adults","quantile","0.15",70
"Regular Baseline","2026-06-13",-4,"2026-05-16","Adults","quantile","0.2",77
"Regular Baseline","2026-06-13",-4,"2026-05-16","Adults","quantile","0.25",83
"Regular Baseline","2026-06-13",-4,"2026-05-16","Adults","quantile","0.3",88
"Regular Baseline","2026-06-13",-4,"2026-05-16","Adults","quantile","0.35",92
"Regular Baseline","2026-06-13",-4,"2026-05-16","Adults","quantile","0.4",97
"Regular Baseline","2026-06-13",-4,"2026-05-16","Adults","quantile","0.45",102
"Regular Baseline","2026-06-13",-4,"2026-05-16","Adults","quantile","0.5",106
"Regular Baseline","2026-06-13",-4,"2026-05-16","Adults","quantile","0.55",110
"Regular Baseline","2026-06-13",-4,"2026-05-16","Adults","quantile","0.6",115
"Regular Baseline","2026-06-13",-4,"2026-05-16","Adults","quantile","0.65",120
